Type (Average Similarity Score extracted using statement/news) ,Statement Price Movement (Price Movement during statement release - from 2pm to 2:05pm ET),Test Size (Size of the test dataset),Number of Matching Sentences (Number of matching sentences of statement/news extracted for similarity score calculation from Pinecone),Accuracy,F1 Score,Precision,Recall,Insights (Summary of correlation between similarity score and binary price movement for classification as understood by GPT)
Statement Similarity Score,positive,0.2,15,0.333333333,0.333333333,0.4,0.285714286,"A higher average similarity score generally correlates with Positive price movements, while lower scores indicate Negative price movements. A score threshold of approximately 0.35 appears to separate Positive from Negative outcomes, with several records around this threshold reinforcing the trend."
News Similarity Score,positive,0.2,20,0.5,0.571428571,0.571428571,0.571428571,"A higher average similarity score correlates with positive price movements, while lower scores typically indicate negative movements. Notably, most records with scores below 0.4 resulted in negative price movements, while those above 0.45 were more likely to be positive."
Statement Similarity Score,positive,0.33,15,0.578947368,0.692307692,0.642857143,0.75,"Lower average similarity scores (below 0.3) tend to be associated with Negative price movements, while higher scores (above 0.35) correlate with Positive price movements, although there are exceptions. A clear threshold around 0.3 presents a trend where prices may move positively or negatively depending on the context of the FOMC communications."
News Similarity Score,positive,0.33,20,0.473684211,0.615384615,0.571428571,0.666666667,"The analysis reveals that a higher average similarity score generally aligns with positive price movements, while lower scores often correlate with negative movements. Thresholds appeared around 0.42 - 0.45 for potential negative predictions, while values above 0.45 tended to indicate positive movements."
Statement Similarity Score,negative,0.2,15,0.7,0.769230769,0.714285714,0.833333333,"Higher average similarity scores (above 0.35) tend to correlate with Positive price movements, while lower scores (around 0.28 or below) often indicate Negative movements."
News Similarity Score,negative,0.2,20,0.5,0.615384615,0.571428571,0.666666667,"A higher average similarity score (generally above 0.45) tends to correlate with Positive price movements, while lower scores (below 0.43) are often associated with Negative movements. This suggests that close alignment to past FOMC statements or news indicates more favorable market expectations."
Statement Similarity Score,negative,0.33,15,0.375,0.375,0.5,0.3,"Higher Average Similarity Scores (above 0.36) are generally indicative of Positive price movements, while lower scores (around 0.27 to 0.32) trend more towards Negative movements. A distinct threshold around 0.33 appears to be a pivotal point."
News Similarity Score,negative,0.33,20,0.5,0.555555556,0.625,0.5,"The analysis indicates that higher average similarity scores (above approximately 0.45) correlate more strongly with Positive price movements, while scores below this threshold are often associated with Negative price movements."
Statement Similarity Score,positive,0.2,20,0.333333333,0.5,0.444444444,0.571428571,"Higher average similarity scores (generally above 0.3) tend to indicate Positive price movements, while lower scores (below this threshold) correlate more with Negative movements. This suggests a threshold around 0.3 for predicting price direction."
News Similarity Score,positive,0.2,25,0.333333333,0.5,0.444444444,0.571428571,"Higher average similarity scores (0.4 and above) tend to correlate with positive price movements, while lower scores (below 0.37) often indicate negative movements. A threshold around 0.4 can be inferred as a significant boundary for predicting price trends."
Statement Similarity Score,positive,0.33,20,0.421052632,0.56,0.538461538,0.583333333,"Higher average similarity scores (above ~0.3) tend to correlate with Positive price movements, while lower scores (below ~0.3) indicate a likelihood of Negative movements."
News Similarity Score,positive,0.33,25,0.526315789,0.666666667,0.6,0.75,"Records with an Average Similarity Score above approximately 0.4 are more likely to yield a Positive price movement, while those below this threshold tend to be Negative."
Statement Similarity Score,negative,0.2,20,0.6,0.666666667,0.666666667,0.666666667,"A higher Average Similarity Score (above 0.30) tends to correlate with Positive price movements, while scores below 0.30 often predict Negative movements. Scores around 0.25 have been particularly indicative of Negative results."
News Similarity Score,negative,0.2,25,0.7,0.727272727,0.8,0.666666667,"Higher average similarity scores (above 0.45) are generally associated with Positive price movements, while lower scores (below 0.43) correlate with Negative price movements."
Statement Similarity Score,negative,0.33,20,0.6875,0.761904762,0.727272727,0.8,"Higher average similarity scores (above approx. 0.32) typically indicate a Positive price movement, while scores below this threshold are often associated with Negative price movements. Price movements tend to be negatively correlated with lower similarity scores, especially those under 0.26."
News Similarity Score,negative,0.33,25,0.625,0.7,0.7,0.7,"Records with higher average similarity scores (above 0.45) tend to show positive price movements, while lower scores (below 0.42) are more associated with negative movements. A threshold around 0.45 appears to be significant in predicting positive trends."
Statement Similarity Score,positive,0.2,25,0.5,0.666666667,0.545454545,0.857142857,"The analysis indicates a trend where higher average similarity scores (above approximately 0.25) correlate with positive price movements, while lower scores tend to result in negative price movements. Scores above 0.30 often predict positive responses."
News Similarity Score,positive,0.2,30,0.5,0.666666667,0.545454545,0.857142857,"The analysis indicates that higher average similarity scores (above approximately 0.43) are strongly associated with positive price movements, while lower scores (especially below approximately 0.36) tend to correspond with negative movements. A score around 0.40 or higher suggests a stronger alignment with positive signals."
Statement Similarity Score,positive,0.33,25,0.684210526,0.8,0.666666667,1,"Higher Average Similarity Scores (above 0.3) tend to correlate with Positive price movements, while scores below approximately 0.25 are often associated with Negative movements."
News Similarity Score,positive,0.33,30,0.526315789,0.608695652,0.636363636,0.583333333,"A higher Average Similarity Score (above approximately 0.43) tends to correlate with Positive price movement, while scores below this threshold are more likely to indicate Negative price movement. Scores around 0.35 to 0.41 are particularly indicative of Negative outcomes. Overall, the data suggests a threshold of approximately 0.43 as critical in predicting price behavior."
Statement Similarity Score,negative,0.2,25,0.7,0.727272727,0.8,0.666666667,"The analysis indicates a threshold in the Average Similarity Score around 0.28. Scores below this value tend to correlate with negative price movements, while scores above are more likely to indicate positive movements."
News Similarity Score,negative,0.2,30,0.6,0.6,0.75,0.5,"A similarity score below 0.4000 tends to correlate with negative price movements, while scores above 0.4400 are more often associated with positive price movements. Scores around 0.44 indicate mixed outcomes, suggesting a potential threshold for future evaluations."
Statement Similarity Score,negative,0.33,25,0.5625,0.533333333,0.8,0.4,"The analysis shows that lower average similarity scores (generally below 0.25) tend to correlate with Negative price movements, while scores above approximately 0.28 suggest Positive price movements. Scores around 0.26 to 0.27 appear to be mixed, indicating no clear trend."
